2023-03-11 11:31:15,565 INFO    MainThread:567 [wandb_setup.py:_flush():76] Configure stats pid to 567
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_setup.py:_flush():76] Loading settings from /aiffel/.config/wandb/settings
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_setup.py:_flush():76] Loading settings from /aiffel/aiffel/saturi/wandb/settings
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program': '<python with no main file>'}
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_init.py:_log_setup():506] Logging user logs to /aiffel/aiffel/saturi/wandb/run-20230311_113115-k5ldofuk/logs/debug.log
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_init.py:_log_setup():507] Logging internal logs to /aiffel/aiffel/saturi/wandb/run-20230311_113115-k5ldofuk/logs/debug-internal.log
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_init.py:init():546] calling init triggers
2023-03-11 11:31:15,566 INFO    MainThread:567 [wandb_init.py:init():552] wandb.init called with sweep_config: {}
config: {'n_layers': 2, 'd_model': 512, 'n_heads': 8, 'd_ff': 2048, 'src_vocab_size': 4000, 'tgt_vocab_size': 4000, 'pos_len': 200, 'dropout': 0.2, 'epochs': 3, 'BATCH_SIZE': 64}
2023-03-11 11:31:15,567 INFO    MainThread:567 [wandb_init.py:init():568] re-initializing run, found existing run on stack: ah4e26om
2023-03-11 11:31:15,568 INFO    MainThread:567 [wandb_run.py:_finish():1852] finishing run saturi/saturi/ah4e26om
2023-03-11 11:31:15,569 INFO    MainThread:567 [jupyter.py:save_history():445] not saving jupyter history
2023-03-11 11:31:15,569 INFO    MainThread:567 [jupyter.py:save_ipynb():373] not saving jupyter notebook
2023-03-11 11:31:15,569 INFO    MainThread:567 [wandb_init.py:_jupyter_teardown():434] cleaning up jupyter logic
2023-03-11 11:31:15,570 INFO    MainThread:567 [wandb_run.py:_atexit_cleanup():2081] got exitcode: 0
2023-03-11 11:31:15,570 INFO    MainThread:567 [wandb_run.py:_restore():2064] restore
2023-03-11 11:31:15,570 INFO    MainThread:567 [wandb_run.py:_restore():2070] restore done
2023-03-11 11:31:18,452 INFO    MainThread:567 [wandb_run.py:_footer_history_summary_info():3429] rendering history
2023-03-11 11:31:18,452 INFO    MainThread:567 [wandb_run.py:_footer_history_summary_info():3461] rendering summary
2023-03-11 11:31:18,455 INFO    MainThread:567 [wandb_run.py:_footer_sync_info():3387] logging synced files
2023-03-11 11:31:18,459 INFO    MainThread:567 [wandb_init.py:init():602] starting backend
2023-03-11 11:31:18,459 INFO    MainThread:567 [wandb_init.py:init():606] setting up manager
2023-03-11 11:31:18,461 INFO    MainThread:567 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-03-11 11:31:18,462 INFO    MainThread:567 [wandb_init.py:init():613] backend started and connected
2023-03-11 11:31:18,476 INFO    MainThread:567 [wandb_run.py:_label_probe_notebook():1202] probe notebook
2023-03-11 11:31:18,476 INFO    MainThread:567 [wandb_run.py:_label_probe_notebook():1212] Unable to probe notebook: 'NoneType' object has no attribute 'get'
2023-03-11 11:31:18,476 INFO    MainThread:567 [wandb_init.py:init():701] updated telemetry
2023-03-11 11:31:18,562 INFO    MainThread:567 [wandb_init.py:init():741] communicating run to backend with 60.0 second timeout
2023-03-11 11:31:19,663 INFO    MainThread:567 [wandb_run.py:_on_init():2131] communicating current version
2023-03-11 11:31:19,721 INFO    MainThread:567 [wandb_run.py:_on_init():2140] got version response 
2023-03-11 11:31:19,721 INFO    MainThread:567 [wandb_init.py:init():789] starting run threads in backend
2023-03-11 11:31:20,289 INFO    MainThread:567 [wandb_run.py:_console_start():2112] atexit reg
2023-03-11 11:31:20,289 INFO    MainThread:567 [wandb_run.py:_redirect():1967] redirect: SettingsConsole.WRAP_RAW
2023-03-11 11:31:20,289 INFO    MainThread:567 [wandb_run.py:_redirect():2032] Wrapping output streams.
2023-03-11 11:31:20,289 INFO    MainThread:567 [wandb_run.py:_redirect():2057] Redirects installed.
2023-03-11 11:31:20,290 INFO    MainThread:567 [wandb_init.py:init():831] run started, returning control to user process
